'Device_status', 'Cow_ID', 'Time', 'Activity', 'Pulse', 'Temperature', 'Blood_Preasure', 'respirtion_Rate', 'Cow_Owner'
['active'],[1],[00/00/59],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/00],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/01],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/02],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/03],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/04],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/05],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/06],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/07],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/08],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/09],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/10],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/11],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/12],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/13],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/14],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/15],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/16],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/17],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/18],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/19],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/20],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/21],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/22],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/23],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/24],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/25],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/26],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/27],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/28],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/29],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/30],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/31],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/32],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/33],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/34],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/35],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/36],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/37],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/38],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/39],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/40],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/41],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/42],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/43],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/44],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/45],[laying],[3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/46],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/47],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/48],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/49],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/50],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/51],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/52],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/53],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/54],[laying],[2.],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/55],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/56],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/57],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/58],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/01/59],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/00],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/01],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/02],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/03],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/04],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/05],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/06],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/07],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/08],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/02/09],[laying],[2.3],[38],[157],[1.5],['Mpho']
['active'],[1],[00/02/10],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/11],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/12],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/13],[laying],[2.4],[39],[157],[1.4],['Mpho']
['active'],[1],[00/02/14],[laying],[2.4],[39],[157],[1.4],['Mpho']
['active'],[1],[00/02/15],[laying],[2.3],[37],[157],[1.4],['Mpho']
['active'],[1],[00/02/16],[laying],[2.5],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/17],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/18],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/19],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/20],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/21],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/22],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/23],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/24],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/25],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/26],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/27],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/28],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/29],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/30],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/31],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/32],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/33],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/34],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/35],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/36],[laying],[2.3],[38],[157],[1.4],['Mpho']
['inactive'],[],[00/02/37],[],[],[],[],[],['']
['active'],[1],[00/02/38],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/39],[laying],[2.3],[36],[157],[1.4],['Mpho']
['active'],[1],[00/02/40],[laying],[2.5],[37],[157],[1.4],['Mpho']
['active'],[1],[00/02/41],[laying],[2.3],[36],[157],[1.4],['Mpho']
['active'],[1],[00/02/42],[laying],[2.3],[36],[157],[1.4],['Mpho']
['active'],[1],[00/02/43],[laying],[2.5],[35],[157],[1.4],['Mpho']
['active'],[1],[00/02/44],[laying],[2.3],[36],[157],[1.4],['Mpho']
['active'],[1],[00/02/45],[laying],[3],[37],[157],[1.4],['Mpho']
['active'],[1],[00/02/46],[laying],[2.3],[36],[157],[1.4],['Mpho']
['active'],[1],[00/02/47],[laying],[2.3],[37],[157],[1.4],['Mpho']
['active'],[1],[00/02/48],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/49],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/50],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/51],[laying],[2.5],[37],[157],[1.4],['Mpho']
['active'],[1],[00/02/52],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/53],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/54],[laying],[2.],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/55],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/56],[laying],[2],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/57],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/58],[laying],[2.3],[38],[157],[1.4],['Mpho']
['active'],[1],[00/02/59],[laying],[2.3],[38],[157],[1.4],['Mpho']]
